seed,alg,layer,err,n
14,ADAPT,22,4.773959005888173e-14,4
14,QAOA,2,0.3388188613404899,4
14,QAOA,4,0.19653544825076552,4
14,QAOA,6,0.16776271278830146,4
14,QAOA,8,0.08550033592103556,4
14,QAOA,10,0.017882667055888035,4
14,QAOA,12,0.006277780006747502,4
14,QAOA,14,0.0032447067959859854,4
14,QAOA,16,9.984914293648117e-5,4
14,QAOA,18,0.0007300674107111327,4
15,ADAPT,2,0.8425787991174531,4
15,ADAPT,3,0.36979018646863215,4
15,ADAPT,4,0.22695089732667872,4
15,ADAPT,5,0.22693058856743686,4
15,ADAPT,6,0.22691286517771836,4
15,ADAPT,7,0.11332571305735106,4
15,ADAPT,8,8.170063137136196e-6,4
15,ADAPT,9,5.639355089570586e-6,4
15,ADAPT,10,1.5510055462186756e-9,4
15,ADAPT,11,6.464394353145053e-9,4
15,ADAPT,12,5.897815569255727e-11,4
15,ADAPT,13,1.2736478538499796e-11,4
15,ADAPT,14,2.7622348852673895e-12,4
15,ADAPT,15,6.044054146059352e-13,4
15,ADAPT,16,1.4921397450962104e-13,4
15,ADAPT,17,1.247890679678676e-13,4
15,ADAPT,18,1.2878587085651816e-13,4
15,ADAPT,19,3.3306690738754696e-14,4
15,ADAPT,20,1.9584334154387761e-13,4
15,ADAPT,21,1.0258460747536446e-13,4
15,ADAPT,22,2.2470914018413168e-13,4
15,QAOA,2,0.32204929423607753,4
15,QAOA,4,0.322049294236074,4
15,QAOA,6,0.3220492942360704,4
15,QAOA,8,0.12911266449212055,4
15,QAOA,10,0.12987676407691495,4
15,QAOA,12,0.028370153808958687,4
15,QAOA,14,0.010223196054953032,4
15,QAOA,16,1.066697957963214e-6,4
15,QAOA,18,9.971633270211555e-7,4
16,ADAPT,2,0.6717835854513978,4
16,ADAPT,3,0.2976480363088676,4
16,ADAPT,4,0.07509558380444803,4
16,ADAPT,5,7.039614307036146e-6,4
16,ADAPT,6,6.281895479576249e-6,4
16,ADAPT,7,5.023386627778237e-6,4
16,ADAPT,8,4.480461476052966e-6,4
16,ADAPT,9,4.450143681777874e-6,4
16,ADAPT,10,2.7357885701295714e-6,4
16,ADAPT,11,2.4705366641342152e-9,4
16,ADAPT,12,4.240741091621203e-11,4
16,ADAPT,13,2.2970736424099414e-11,4
16,ADAPT,14,6.128431095930864e-13,4
16,ADAPT,15,9.325873406851315e-15,4
16,ADAPT,16,3.552713678800501e-15,4
